,1,2,3,4,5,6,7,8,9,10,11,12
S118,1,1,1,1,1,1,1,1,1,1,1,1
S119,1,1,1,1,1,1,1,1,1,1,1,1
S120,1,1,1,1,1,1,1,1,1,1,1,1
S121,1,1,1,1,1,1,1,1,1,1,1,1
S122,1,1,1,1,1,1,1,1,1,1,1,1
S123,1,1,1,1,1,1,1,1,1,1,1,1
S124,1,1,1,1,1,1,1,1,1,1,1,1
S125,1,1,1,1,1,1,1,1,1,1,1,1
S126,1,1,1,1,1,1,1,1,1,1,1,1
S127,1,1,1,1,1,1,1,1,1,1,1,1
S128,1,1,1,1,1,1,1,1,1,1,1,1
S129,1,1,1,1,1,1,1,1,1,1,1,1
S130,1,1,1,1,1,1,1,1,1,1,1,1
S131,1,1,1,1,1,1,1,1,1,1,1,1
S132,1,1,1,1,1,1,1,1,1,1,1,1
S133,1,1,1,1,1,1,1,1,1,1,1,1
S134,1,1,1,1,1,1,1,1,1,1,1,1
S135,1,1,1,1,1,1,1,1,1,1,1,1
S136,1,1,1,1,1,1,1,1,1,1,1,1
S137,1,1,1,1,1,1,1,1,1,1,1,1
S138,1,1,1,1,1,1,1,1,1,1,1,1
S139,1,1,1,1,1,1,1,1,1,1,1,1
S140,1,1,1,1,1,1,1,1,1,1,1,1
S141,1,1,1,1,1,1,1,1,1,1,1,1
S142,1,1,1,1,1,1,1,1,1,1,1,1
S143,1,1,1,1,1,1,1,1,1,1,1,1
S144,1,1,1,1,1,1,1,1,1,1,1,1
S145,1,1,1,1,1,1,1,1,1,1,1,1
S146,1,1,1,1,1,1,1,1,1,1,1,1
S147,1,1,1,1,1,1,1,1,1,1,1,1
S148,1,1,1,1,1,1,1,1,1,1,1,1
S149,1,1,1,1,1,1,1,1,1,1,1,1
S150,1,1,1,1,1,1,1,1,1,1,1,1
S151,1,1,1,1,1,1,1,1,1,1,1,1
S152,1,1,1,1,1,1,1,1,1,1,1,1
S153,1,1,1,1,1,1,1,1,1,1,1,1
S154,1,1,1,1,1,1,1,1,1,1,1,1
S155,1,1,1,1,1,1,1,1,1,1,1,1
S156,1,1,1,1,1,1,1,1,1,1,1,1
S157,1,1,1,1,1,1,1,1,1,1,1,1
S158,1,1,1,1,1,1,1,1,1,1,1,1
S159,1,1,1,1,1,1,1,1,1,1,1,1
S160,1,1,1,1,1,1,1,1,1,1,1,1
S161,1,1,1,1,1,1,1,1,1,1,1,1
S162,1,1,1,1,1,1,1,1,1,1,1,1
S163,1,1,1,1,1,1,1,1,1,1,1,1
S164,1,1,1,1,1,1,1,1,1,1,1,1
S165,2,1,1,1,1,1,1,2,2,1,1,1
S166,2,1,1,1,1,1,1,2,2,1,1,1
S167,2,1,1,1,1,1,1,2,2,1,1,1
S168,2,1,1,1,1,1,1,2,2,1,1,1
S169,2,1,1,1,1,1,1,2,2,1,1,1
S170,2,1,1,1,1,1,1,2,2,1,1,1
S171,2,1,1,1,1,1,1,2,2,1,1,1
S172,2,1,1,1,1,1,1,2,2,1,1,1
S173,2,1,1,1,1,1,1,2,2,1,1,1
S174,2,1,1,1,1,1,1,2,2,1,1,1
S175,2,1,1,1,1,1,1,2,2,1,1,1
S176,2,1,1,1,1,1,1,2,2,1,1,1
S177,2,1,1,1,1,1,1,2,2,1,1,1
S178,2,1,1,1,1,1,1,2,2,1,1,1
S179,2,1,1,1,1,1,1,2,2,1,1,1
S180,2,1,1,1,1,1,1,2,2,1,1,1
S181,2,1,1,1,1,1,1,2,2,1,1,1
S182,2,1,1,1,1,1,1,2,2,1,1,1
S183,2,1,1,1,1,1,1,2,2,1,1,1
S184,2,1,1,1,1,1,1,2,2,1,1,1
S185,2,1,1,1,1,1,1,2,2,1,1,1
S186,2,1,1,1,1,1,1,2,2,1,1,1
S187,2,1,1,1,1,1,1,2,2,1,1,1
S188,2,1,1,1,1,1,1,2,2,1,1,1
S189,2,1,1,1,1,1,1,2,2,1,1,1
S190,2,1,1,1,1,1,1,2,2,1,1,1
S191,2,1,1,1,1,1,1,2,2,1,1,1
S192,2,1,1,1,1,1,1,2,2,1,1,1
S193,2,1,1,1,1,1,1,2,2,1,1,1
S194,2,1,1,1,1,1,1,2,2,1,1,1
S195,2,1,1,1,1,1,1,2,2,1,1,1
S196,2,1,1,1,1,1,1,2,2,1,1,1
S197,2,1,1,1,1,1,1,2,2,1,1,1
S198,2,1,1,1,1,1,1,2,2,1,1,1
S199,2,1,1,1,1,1,1,2,2,1,1,1
S200,2,1,1,1,1,1,1,2,2,1,1,1
S201,2,1,1,1,1,1,1,2,2,1,1,1
S202,2,1,1,1,1,1,1,2,2,1,1,1
S203,2,1,1,1,1,1,1,2,2,1,1,1
S204,2,1,1,1,1,1,1,2,2,1,1,1
S205,2,1,1,1,1,1,1,2,2,1,1,1
S206,2,1,1,1,1,1,1,2,2,1,1,1
S207,2,1,1,1,1,1,1,2,2,1,1,1
